device_status	date	time	battery_voltage_V	pv1_voltage_V	pv2_voltage_V	SOC	capacity_Ah	total_charge_discharge_battery_A	pv1_current_A	pv2_current_A	module_current_A	total_batt_current_A	load_current_A	total_batt_discharge_current_A	temperature_C	error	charging_mode	AUX1	AUX2	AUX3	energy_input_24h_Ah	energy_input_tot_Ah	energy_output_24h_Ah	energy_output_tot_Ah	derating_Ah	checksum	pv1_power_W	pv2_power_W	pv_power_total_W
1	2026/09/01	11:08	49.6	64.7	64.8	#	#	14.8	3.3	3.3	#	7.2	#	7.2	21.7	0	B	1	1	0	18	4199	18	4013	0	8E4E	213.51	213.84	427.35
1	2026/09/01	11:09	49.0	63.9	63.8	#	#	14.0	3.1	3.1	#	6.8	#	6.8	21.7	0	B	1	1	0	18	4199	18	4013	0	D862	198.09	197.78	395.87
1	2026/09/01	11:10	48.8	63.7	63.5	#	#	13.1	3.0	3.0	#	6.4	#	6.4	21.7	0	B	1	1	0	18	4199	18	4013	0	0223	191.1	190.5	381.6
1	2026/09/01	11:11	48.6	63.5	63.3	#	#	12.4	2.8	2.8	#	6.1	#	6.1	21.7	0	B	1	1	0	18	4199	18	4013	0	8315	177.8	177.24	355.04
1	2026/09/01	11:12	48.5	63.3	63.2	#	#	11.9	2.4	2.4	#	5.8	#	5.8	21.7	0	B	1	1	0	18	4199	18	4013	0	B0CE	151.92	151.68	303.6
1	2026/09/01	11:13	48.4	63.1	63.0	#	#	10.7	2.1	2.2	#	5.2	#	5.2	21.7	0	B	1	1	0	18	4199	18	4013	0	77E7	132.51	138.6	271.11
1	2026/09/01	11:14	48.3	63.0	62.8	#	#	9.2	2.0	2.0	#	4.5	#	4.5	21.7	0	B	1	1	0	18	4199	18	4013	0	9E58	126	125.6	251.6
1	2026/09/01	11:15	48.2	62.8	62.7	#	#	8.4	2.1	2.1	#	4.1	#	4.1	21.7	0	B	1	1	0	18	4199	18	4013	0	5736	131.88	131.67	263.55
1	2026/09/01	11:16	48.2	63.0	62.7	#	#	8.4	2.1	2.2	#	4.1	#	4.1	21.7	0	B	1	1	0	18	4199	18	4013	0	1687	132.3	137.94	270.24
1	2026/09/01	11:17	48.1	62.8	62.7	#	#	8.6	2.2	2.2	#	4.2	#	4.2	21.7	0	B	1	1	0	19	4200	19	4014	0	236B	138.16	137.94	276.1
1	2026/09/01	11:18	48.1	63.0	62.6	#	#	8.9	2.2	2.2	#	4.4	#	4.4	21.7	0	B	1	1	0	19	4200	19	4014	0	E3F9	138.6	137.72	276.32
1	2026/09/01	11:19	48.1	62.6	62.7	#	#	8.9	2.2	2.2	#	4.4	#	4.4	21.7	0	B	1	1	0	19	4200	19	4014	0	8709	137.72	137.94	275.66
1	2026/09/01	11:20	48.0	62.8	62.5	#	#	8.8	2.2	2.2	#	4.3	#	4.3	21.7	0	B	1	1	0	19	4200	19	4014	0	2184	138.16	137.5	275.66
1	2026/09/01	11:21	48.0	62.8	62.5	#	#	8.9	2.3	2.3	#	4.4	#	4.4	21.7	0	B	1	1	0	19	4200	19	4014	0	2ED1	144.44	143.75	288.19
1	2026/09/01	11:22	48.1	62.6	62.6	#	#	9.3	2.5	2.5	#	4.6	#	4.6	21.7	0	B	1	1	0	19	4200	19	4014	0	345F	156.5	156.5	313
1	2026/09/01	11:23	48.1	62.8	62.6	#	#	9.8	2.6	2.6	#	4.8	#	4.8	21.7	0	B	1	1	0	19	4200	19	4014	0	53FA	163.28	162.76	326.04
1	2026/09/01	11:24	48.1	62.8	62.6	#	#	10.4	2.8	2.9	#	5.1	#	5.1	21.7	0	B	1	1	0	19	4200	19	4014	0	A44B	175.84	181.54	357.38
1	2026/09/01	11:25	48.1	62.8	62.7	#	#	11.2	3.0	3.1	#	5.5	#	5.5	21.7	0	B	1	1	0	19	4200	19	4014	0	90D4	188.4	194.37	382.77
1	2026/09/01	11:26	48.1	62.9	64.1	#	#	12.0	3.2	3.3	#	5.9	#	5.9	21.7	0	B	1	1	0	19	4200	19	4014	0	F840	201.28	211.53	412.81
1	2026/09/01	11:27	48.2	62.9	64.7	#	#	12.8	3.4	3.5	#	6.3	#	6.3	21.7	0	B	1	1	0	19	4200	19	4014	0	7AE5	213.86	226.45	440.31
1	2026/09/01	11:28	48.2	67.8	65.1	#	#	13.6	3.5	3.6	#	6.7	#	6.7	21.7	0	B	1	1	0	19	4200	19	4014	0	9943	237.3	234.36	471.66
1	2026/09/01	11:29	48.2	68.5	65.3	#	#	14.3	3.6	3.8	#	7.0	#	7.0	21.7	0	B	1	1	0	20	4201	20	4015	0	8763	246.6	248.14	494.74
1	2026/09/01	11:30	48.3	65.0	65.7	#	#	15.1	4.0	4.0	#	7.4	#	7.4	21.7	0	B	1	1	0	20	4201	20	4015	0	F375	260	262.8	522.8
